paintId,Name,Brand,hexColorCode,matchValue
118,Magenta," Vallejo-Model"," #a92a56",
119,DarkRed," Vallejo-Model"," #a24a46",
120,DarkSand," Vallejo-Model"," #d1b47e",
121,GoldenYellow," Vallejo-Model"," #f7c65e",
122,LightYellow," Vallejo-Model"," #f7ea62",
123,Black," Vallejo-Model"," #252b31",
124,White," Vallejo-Model"," #ffffff",
125,LemonYellow," Vallejo-Model"," #fef10e",
126,FlatYellow," Vallejo-Model"," #ffcd25",
127,YellowGreen," Vallejo-Model"," #d9e02a",
128,FlatFlesh," Vallejo-Model"," #d8a977",
129,ClearOrange," Vallejo-Model"," #f1552c",
130,FlatRed," Vallejo-Model"," #aa3037",
131,Pink," Vallejo-Model"," #d37497",
132,Purple," Vallejo-Model"," #834a6c",
133,Violet," Vallejo-Model"," #4b2f65",
134,SkyBlue," Vallejo-Model"," #86d6f7",
135,FlatBlue," Vallejo-Model"," #336991",
136,MediumBlue," Vallejo-Model"," #066588",
137,FieldBlue," Vallejo-Model"," #436872",
138,PrussianBlue," Vallejo-Model"," #2a546e",
139,Turquoise," Vallejo-Model"," #008e9c",
140,OliveGreen," Vallejo-Model"," #6a8b3a",
141,FlatGreen," Vallejo-Model"," #2a6531",
142,ParkGreenFlat," Vallejo-Model"," #008c5d",
143,DeepGreen," Vallejo-Model"," #0a6b48",
144,GreyGrey," Vallejo-Model"," #aecbbb",
145,LightGreenBlue," Vallejo-Model"," #6d9a95",
146,LightSeaGrey," Vallejo-Model"," #97b4b5",
147,GreenSky," Vallejo-Model"," #59ad84",
148,MilitaryGreen," Vallejo-Model"," #3e5848",
149,Buff," Vallejo-Model"," #d2ca9f",
150,DesertYellow," Vallejo-Model"," #b19151",
151,DarkYellow," Vallejo-Model"," #9d9059",
152,GermanCam.DarkGreen," Vallejo-Model"," #2f4845",
153,BlackGreen," Vallejo-Model"," #19423e",
154,OrangeBrown," Vallejo-Model"," #b86f44",
155,CavalryBrown," Vallejo-Model"," #853f3d",
156,FlatEarth," Vallejo-Model"," #87643c",
157,FlatBrown," Vallejo-Model"," #764841",
158,HullRed," Vallejo-Model"," #522724",
159,DeckTan," Vallejo-Model"," #bec5b3",
160,MediumGrey," Vallejo-Model"," #909b85",
161,Khaki," Vallejo-Model"," #969163",
162,SkyGrey," Vallejo-Model"," #b3b6b2",
163,LightGrey," Vallejo-Model"," #949c9a",
164,DarkSeaGrey," Vallejo-Model"," #787d7a",
165,NeutralGrey," Vallejo-Model"," #64767a",
166,WhiteGrey," Vallejo-Model"," #eef1ec",
167,DarkGrey," Vallejo-Model"," #233e3d",
168,GermanGrey," Vallejo-Model"," #192f30",
169,EmperorsChildren," Citadel"," #bd3f75"," 6.03"
170,CadianFleshtone," Citadel"," #cb7953"," 7.62"
