3700,3492,6.03
3700,3644,10.81
3700,3804,7.92
3700,2891,9.71
2216,3541,7.62
2216,3652,3.63
2216,3860,5.82
2216,2892,1.38
3752,3544,4.51
3752,3648,5.19
3752,3851,6.65
3752,3959,4.84
2218,3482,4.93
2218,2682,0.34
2218,3798,7.74
2218,3020,1.89
2219,3535,7.86
2219,2680,8.87
2219,2767,7.67
2219,3012,7.03
3721,3513,8.27
3721,3617,8.78
3721,3882,9.71
3721,3928,6.18
3723,3515,5.43
3723,2559,8.17
3723,3822,7.76
3723,3036,1.82
3711,3500,4.07
3711,3609,6.32
3711,3815,7.36
3711,3915,6.25
3702,3494,3.55
3702,3598,1.97
3702,3806,3.16
3702,3909,4.74
3703,3495,2.26
3703,3609,12.99
3703,3815,16.77
3703,3912,14.17
3698,3490,7.68
3698,3595,5.47
3698,3804,14.93
3698,2937,11.26
2226,3553,5.62
2226,3657,6.48
2226,3866,14.17
2226,3968,7.66
2227,3536,7.8
2227,2591,1.9
2227,3891,6.84
2227,3951,7.22
2228,3559,4.42
2228,3660,9.15
2228,3882,7.22
2228,3928,7.67
3694,3486,4.08
3694,3590,2.42
3694,3798,4.05
3694,3901,4.33
2230,3540,4.21
2230,3644,3.63
2230,3859,9.7
2230,3904,8.6
3747,3539,4.89
3747,3637,9.89
3747,3851,2.28
3747,3960,5.64
2663,3476,7.8
2663,2663,5.84
2663,2823,4.38
2663,3057,1.71
2233,3558,4.93
2233,3675,5.88
2233,3870,4.81
2233,3973,9.86
3761,3553,6.59
3761,3657,5.62
3761,3868,12.66
3761,3968,2.02
3735,3527,6.91
3735,3630,1.57
3735,3869,6.64
3735,3943,6.23
3761,3553,5.99
3761,3657,5.26
3761,3868,11.24
3761,3968,3.09
2237,3558,5.19
2237,3041,5.33
2237,3850,4.75
2237,2996,6.1
3777,3569,5.78
3777,3641,10.06
3777,3881,11.8
3777,3955,5.01
3696,3555,8.4
3696,2577,7.02
3696,3866,9.23
3696,2937,7.53
3730,3522,4.84
3730,3626,6.54
3730,2747,8.05
3730,2916,7.44
2241,3489,5.15
2241,3590,5.16
2241,3798,6.96
2241,3901,4.77
2242,3568,6.85
2242,3641,9.36
2242,3869,7.01
2242,3039,3.64
2243,3525,7.28
2243,3940,10.42
2243,3843,9.37
2243,3940,4.53
3787,3579,0.72
3787,3683,1.23
3787,3891,6.62
3787,3994,6.91
2245,3567,3.74
2245,3671,6.06
