3866,3546,2.13
3866,3658,1.66
3866,3762,8.17
3866,3969,2.02
3867,3485,5.57
3867,3589,4.11
3867,3693,4.13
3867,3903,5.24
3798,3481,3.27
3798,3590,1.69
3798,3694,3.76
3798,3896,2.51
3795,3483,5.25
3795,2647,2.71
3795,3691,3.39
3795,3898,5.82
2769,3544,6.56
2769,1980,4.02
2769,3691,5.42
2769,1768,4.56
3857,3545,6.32
3857,3582,4.55
3857,2253,6.12
3857,3967,4.25
3887,3480,3.44
3887,2680,2.81
3887,3687,3.35
3887,3990,3.86
3791,3479,4.31
3791,3583,4
3791,2341,4.12
3791,3894,3.73
3868,3556,7.03
3868,1927,6.81
3868,3761,12.07
3868,3981,7.51
1469,3566,10.61
1469,3670,10.61
1469,3774,10.48
1469,3981,10.8
3859,3547,6.87
3859,3651,4.26
3859,2230,8.53
3859,1755,1.9
3862,3551,6.95
3862,3654,3.9
3862,3758,2.96
3862,2996,7.53
3863,3551,8.12
3863,3654,6.22
3863,3759,3.86
3863,3966,5.58
3890,3578,6.17
3890,3669,1.44
3890,3786,2.43
3890,3950,3.52
3869,3537,9.08
3869,2659,4.6
3869,2321,5.06
3869,3039,3.9
3836,3523,5.69
3836,2696,1.95
3836,3731,3.31
3836,3938,0.08
3834,3519,4.36
3834,3626,7.21
3834,3727,1
3834,3940,10.75
3843,3528,5.2
3843,3633,4.36
3843,3737,5.61
3843,3943,4.89
3883,3571,3.45
3883,3675,5.97
3883,3673,6.9
3883,3986,3.62
3844,3532,8.4
3844,2007,6.29
3844,3730,8.77
3844,2916,4.09
2747,3522,9.98
2747,2007,5.8
2747,3730,7.86
2747,2916,6.7
3825,3502,4.16
3825,2327,6.22
3825,3710,3.73
3825,3914,8.76
3815,3503,1.51
3815,3607,5.99
3815,3711,6.29
3815,3918,6.71
3818,3506,2.79
3818,3611,11.44
3818,3713,8.52
3818,3921,6.24
3882,3567,3.64
3882,3671,4.85
3882,2245,1.26
3882,3931,7.35
3886,3498,5.57
3886,3602,3.66
3886,3706,3.64
3886,3979,6.8
1486,3476,6.51
1486,3581,6.51
1486,2381,5.74
1486,3892,6.51
3829,3514,6.52
3829,3717,5.11
3829,2295,6.33
3829,3929,11.6
3822,3509,1.39
3822,3615,9.4
3822,3717,2.73
3822,3924,7.84
3827,3572,7.85
3827,3676,12.56
3827,3780,9.39
3827,3987,6.05
3889,3572,6
3889,3681,9.23
3889,3781,9.41
3889,3987,8.81
3885,3563,7.59
3885,3681,6.01
3885,3781,2.88
3885,3991,5.35
3806,3494,5.58
3806,3598,3.59
3806,3702,3.04
3806,3909,3.01
3804,3491,3.55
3804,3595,10.55
3804,3699,3.99
3804,3906,10.35
2853,3489,9.2
2853,2683,9.06
2853,3700,8.58
2853,2891,4.06
3888,3476,10.56
3888,3581,10.56
3888,2381,10.43
3888,2957,9.36
3861,3543,6.37
3861,3651,9.44
3861,3759,6.57
3861,3966,7.07
3851,3539,5.47
3851,3637,8.03
3851,3747,2.27
3851,3960,7.88
3860,3541,1.76
3860,3652,3.32
3860,3749,4.02
3860,3963,4.51
3891,3579,6.12
3891,1951,4.16
3891,2227,6.84
3891,3898,5.11
2832,3565,9.41
2832,2663,8.62
2832,2325,5.34
2832,2957,4.51
3839,3527,4.18
3839,3633,2.6
3839,2277,8.91
3839,3944,4.06
3850,3558,8.05
3850,3041,1.97
3850,2320,3.61
3850,2996,3.49
3845,3533,4.78
3845,3656,6.08
3845,3041,4.36
3845,3041,5.64
3864,3552,5.97
3864,3638,7.65
3864,3742,6.83
3864,3967,9.3
3877,3535,2.37
3877,3669,6.38
3877,3743,3.63
3877,3950,4.52
2767,3535,8.01
2767,2663,6.49
2767,2316,6.66
2767,3001,4.69
2823,3476,8.67
2823,2663,1.5
2823,2316,1.39
2823,3057,2.38
3880,3556,8.77
3880,3624,11.01
3880,3728,6.17
3880,3985,7.07
3881,3560,4.45
3881,3673,6.46
3881,3779,4.62
3881,3973,2.22
3870,3571,7.91
3870,3673,6.32
3870,3772,4.23
3870,3973,9.38
3876,3564,5.86
3876,3669,9.35
3876,3784,5.79
3876,3011,5.17
1512,3535,3.92
1512,3669,9.14
1512,3743,6.73
1512,3980,7.37
3878,3566,1.74
3878,3670,1.92
3878,3774,1.67
3878,3981,10.88
3789,3476,1.77
3789,3581,1.77
3789,3685,1.77
3789,3892,1.77
