3981,3556,11.04
3981,1927,3.09
3981,3670,7.38
3981,3868,8.87
3892,3476,0
3892,3581,0
3892,3685,0
3892,3789,1.84
3901,3486,4.97
3901,3589,3.53
3901,2307,1.61
3901,3867,6.96
3903,3484,4.82
3903,3659,6.02
3903,2323,6.71
3903,3867,5.28
3020,3482,5.1
3020,2682,1.61
3020,2218,1.92
3020,3798,7.63
3894,3479,1.04
3894,3583,4.06
3894,3687,2.92
3894,3791,3.57
3993,3578,3.9
3993,3682,4.54
3993,3743,5.13
3993,3890,4.08
3940,3524,7.23
3940,3940,8.21
3940,2243,4.24
3940,3834,10.93
3943,3527,5.47
3943,3633,2.95
3943,3735,6.2
3943,3839,5.52
3938,3523,5.65
3938,2696,1.99
3938,3731,3.24
3938,3836,0.08
3935,3520,1.72
3935,3624,4.62
3935,3728,7.19
3935,3880,8.41
3611,3501,5.25
3611,3611,5.62
3611,2250,4.38
3611,3818,10.5
3921,3501,4.6
3921,3611,5.5
3921,2250,3.95
3921,3818,6.31
3918,3500,3.97
3918,3607,5.14
3918,3711,6.55
3918,3815,7.95
3914,3513,7.18
3914,3702,9.85
3914,3707,3.86
3914,3825,10.15
3979,3561,4.54
3979,3676,2.86
3979,3782,2.21
3979,3886,6.94
3931,3497,4.7
3931,3671,3.02
3931,2380,5.5
3931,3882,7.35
3926,3511,3.86
3926,3615,3.36
3926,3720,3.43
3926,3822,10.43
3966,3549,5.72
3966,3964,3.36
3966,3759,3.74
3966,3863,5.57
3041,3539,7.63
3041,3656,2.14
3041,2311,3.69
3041,3845,5.11
1755,3489,6.91
1755,3651,4.19
1755,2230,7.55
1755,3859,1.87
3964,3549,3.56
3964,2667,6.97
3964,3757,7.51
3964,3859,10.91
3049,3556,10.75
3049,3657,7.22
3049,3762,7.57
3049,3868,7.22
3950,3535,5.9
3950,3669,2.42
3950,3743,1.01
3950,3890,3.51
3898,3544,7.03
3898,1951,3.57
3898,3750,6.63
3898,3891,4.99
3963,3548,3.56
3963,3652,4.25
3963,3749,5.48
3963,3860,4.67
3909,3494,7.91
3909,3598,4.56
3909,3701,4.57
3909,3806,3
3924,3509,6.41
3924,2559,11.67
3924,3723,3.52
3924,3827,7.33
3969,3546,3.08
3969,3658,2.39
3969,3761,7.97
3969,3866,2.04
1764,3546,3.08
1764,3658,2.39
1764,3761,7.97
1764,3866,2.04
3001,3535,9.43
3001,2663,5.59
3001,2325,3.58
3001,2767,5.01
3990,3479,1.95
3990,3583,5.21
3990,3687,2.18
3990,3887,3.8
3011,3564,6.88
3011,3669,7.62
