MediumBlue, Vallejo-Model, #066588,
FieldBlue, Vallejo-Model, #436872,
PrussianBlue, Vallejo-Model, #2a546e,
Turquoise, Vallejo-Model, #008e9c,
OliveGreen, Vallejo-Model, #6a8b3a,
FlatGreen, Vallejo-Model, #2a6531,
ParkGreenFlat, Vallejo-Model, #008c5d,
DeepGreen, Vallejo-Model, #0a6b48,
GreyGrey, Vallejo-Model, #aecbbb,
LightGreenBlue, Vallejo-Model, #6d9a95,
LightSeaGrey, Vallejo-Model, #97b4b5,
GreenSky, Vallejo-Model, #59ad84,
MilitaryGreen, Vallejo-Model, #3e5848,
Buff, Vallejo-Model, #d2ca9f,
DesertYellow, Vallejo-Model, #b19151,
DarkYellow, Vallejo-Model, #9d9059,
GermanCam.DarkGreen, Vallejo-Model, #2f4845,
BlackGreen, Vallejo-Model, #19423e,
OrangeBrown, Vallejo-Model, #b86f44,
CavalryBrown, Vallejo-Model, #853f3d,
FlatEarth, Vallejo-Model, #87643c,
FlatBrown, Vallejo-Model, #764841,
HullRed, Vallejo-Model, #522724,
DeckTan, Vallejo-Model, #bec5b3,
MediumGrey, Vallejo-Model, #909b85,
Khaki, Vallejo-Model, #969163,
SkyGrey, Vallejo-Model, #b3b6b2,
LightGrey, Vallejo-Model, #949c9a,
DarkSeaGrey, Vallejo-Model, #787d7a,
NeutralGrey, Vallejo-Model, #64767a,
WhiteGrey, Vallejo-Model, #eef1ec,
DarkGrey, Vallejo-Model, #233e3d,
GermanGrey, Vallejo-Model, #192f30,
EmperorsChildren, Citadel, #bd3f75, 6.03
CadianFleshtone, Citadel, #cb7953, 7.62
BestigorFlesh, Citadel, #D38A57, 4.51
TrollSlayerOrange, Citadel, #eb641b, 4.93
ScreamingSkull, Citadel, #d9d8a6, 7.86
StegadonScaleGreen, Citadel, #004261, 8.27
TempleGuardBlue, Citadel, #35998e, 5.43
AlaitocBlue, Citadel, #2e5689, 4.07
XereusPurple, Citadel, #4b205c, 3.55
GenestealerPurple, Citadel, #7c5ca4, 2.26
ScreamerPink, Citadel, #831740, 7.68
RhinoxHide, Citadel, #4e3433, 5.62
FlayedOneFlesh, Citadel, #f3ca8a, 7.80
MechanicusStandardGrey, Citadel, #454e50, 4.42
